Word,Polarity,Intensity,SubjectivityType,SubjectivityPolarity
가;있,POS,Medium,Judgment,POS
가;되,NEUT,Medium,Judgment,POS
가;된,NEUT,Medium,Argument,NEUT
가;될,NEUT,Medium,Argument,POS
가;되어,NEG,Low,Judgment,NEUT
가가;능,POS,Medium,Judgment,POS
가;가능하,POS,Medium,Judgment,POS
가가;장,NEG,Low,Judgment,NEG
가;굵,POS,Medium,Judgment,POS
가;그,NEG,High,Argument,POS
가;그동안,NEG,High,Argument,POS
가;그리,NEG,Medium,Judgment,NEG
가극;대,NEG,High,Judgment,NEG
가극;대화,NEG,High,Judgment,NEG
가;꽤,POS,High,Judgment,POS
가꿈;에,NEUT,Medium,Argument,NEUT
가나;에게,COMP,Medium,Argument,POS
가나;오,NEG,Medium,Argument,POS
가;넘,NEG,Low,Argument,POS
가;높,NEUT,Medium,Emotion,NEUT
가;높아,POS,Low,Argument,POS
가느;끼,POS,Medium,Judgment,POS
가느;끼어,POS,Medium,Judgment,POS
가늘;고,NEG,Medium,Judgment,NEG
가;다르,NEUT,Medium,Judgment,POS
가;단절,NEG,Medium,Judgment,NEG
가;더욱,COMP,Medium,Judgment,POS
가;둘,NEUT,Medium,Argument,POS
가;들,NEG,High,Judgment,NEG
가막;을,POS,Medium,Judgment,POS
가막;대,POS,Medium,Judgment,POS
가막;대하,POS,Medium,Judgment,POS
가;많,NEG,High,Judgment,NEG
가;많고,POS,Medium,Argument,POS
가;많은,NEG,Low,Judgment,NEG
가;많이,POS,Low,Judgment,POS
가;맞,NEG,Medium,Agreement,NEG
가;맞지,NEG,Medium,Agreement,NEG
가무;대,POS,Medium,Judgment,POS
가바;늘,NEG,Medium,Judgment,NEG
가;살아나,POS,Medium,Judgment,POS
가;삼위일체,POS,Medium,Judgment,POS
가;새,NEG,Medium,Judgment,NEG
가;생기,NEUT,Low,Argument,POS
가;생기었,NEG,Low,Argument,POS
가성;행,NEG,Medium,Judgment,NEG
가속;하,NEG,Medium,Argument,POS
가속;하아,NEG,Medium,Argument,POS
가쉽;게,NEG,Medium,Judgment,NEG
가쉽;지,POS,Medium,Judgment,POS
가시;급,NEG,High,Argument,POS
가시;급하,NEG,High,Argument,POS
가;쏠쏠,POS,Medium,Judgment,POS
가;아프,NEUT,Medium,Argument,POS
가;얼마나,POS,Medium,Argument,POS
가;없,NEG,Medium,Judgment,POS
가;없다,NEG,Medium,Argument,POS
가열;리,POS,Medium,Argument,POS
가열;린다,POS,Medium,Argument,POS
가;울릴,NEUT,Medium,Argument,POS
가일;정,NEG,Medium,Judgment,NEG
가;일정하,NEG,Medium,Judgment,NEG
가;잇따르,NEG,High,Judgment,NEG
가작;용,POS,Medium,Intention,POS
가장;주,NEUT,Medium,Argument,NEUT
가장;주가,NEUT,Medium,Argument,NEUT
가;적,NEG,Medium,Judgment,NEG
가;적지,NEG,Medium,Judgment,NEG
가주;장,POS,Medium,Argument,POS
가주;장하,POS,Medium,Argument,POS
가죽;어,NEG,Medium,Argument,POS
가줄;어,POS,Medium,Argument,POS
가;짧,NEG,Medium,Judgment,NEG
가차;기,POS,Medium,Argument,POS
가차;단,NEG,High,Judgment,NEG
가;크,POS,High,Judgment,POS
가;크게,POS,High,Judgment,POS
같아;익,POS,Medium,Argument,POS
가;특허,NEG,Medium,Argument,POS
가평;화,POS,Medium,Judgment,POS
가평;화의,POS,Medium,Judgment,POS
가;풀리,NEG,Medium,Judgment,NEG
가;하,NEG,Medium,Argument,POS
가;횡행,NEG,Medium,Judgment,NEG
가;흐르,POS,Medium,Judgment,POS
가;힘,POS,Medium,Judgment,POS
가기;시작,POS,Medium,Argument,POS
간;데,NEG,High,Judgment,NEG
가는;것,NEG,Medium,Argument,POS
가는;경우,NEUT,Medium,Argument,POS
갑;시당,POS,Medium,Argument,POS
가;았,NEG,Medium,Argument,POS
가고;있,NEG,Medium,Argument,POS
갈;계획,POS,Low,Argument,POS
가격;보다,POS,Medium,Judgment,POS
가격;의,POS,Medium,Judgment,POS
가까이;다가가,POS,Medium,Judgment,POS
가까이;초과,NEG,Low,Judgment,NEG
가깝;게,POS,Medium,Emotion,POS
가꾸며;살아오,POS,Medium,Judgment,POS
가늠;하,POS,Medium,Speculation,POS
가능성;이,NEUT,Medium,Speculation,POS
가능성;의,NEG,High,Judgment,NEG
가능성;은,NEG,Medium,Speculation,NEG
가도;를,POS,Medium,Judgment,POS
가득;차,NEUT,High,Judgment,NEUT
가로막;히,NEG,Medium,Judgment,NEG
가르치는;책,NEG,Medium,Judgment,NEG
가르칠;수,POS,Medium,Argument,POS
가르치;려면,NEG,Low,Argument,POS
가리;지,POS,High,Judgment,POS
가사노동;에,NEG,Medium,Judgment,NEG
가스;가,NEG,Medium,Judgment,NEG
가슴;은,POS,Medium,Emotion,POS
가슴;을,NEG,Medium,Argument,POS
가슴;이,POS,High,Emotion,POS
가슴;이나,NEUT,Medium,Argument,POS
가을;같,NEUT,Medium,Argument,POS
가장;고독,NEG,Medium,Judgment,NEG
가장;긍정,POS,High,Judgment,POS
가장;길,POS,Medium,Judgment,POS
가장;내용,POS,Medium,Judgment,POS
가장;널리,POS,Medium,Judgment,POS
가장;많이,NEG,Low,Judgment,NEG
가장;먼저,POS,High,Judgment,POS
가장;상식,POS,Medium,Judgment,POS
가장;성공,POS,Medium,Judgment,POS
가장;솔직,POS,High,Judgment,POS
가장;솔직하,POS,High,Judgment,POS
가장;아름답,POS,High,Judgment,POS
가장;어렵,NEG,Medium,Judgment,NEG
가장;위협,NEG,High,Judgment,NEG
가장;인기,POS,High,Emotion,POS
